负1度饮品店,30.046609,120.248954
胖子面馆(人民路),30.016239,120.201089
米粒多肉,30.03286,120.242056
乐点蛋糕店,30.018067,120.20562
曼丽面馆,30.017549,120.200837
金昌疙瘩面,30.020142,120.205954
次坞打面馆,30.018908,120.204336
缤果时光,30.018197,120.200828
果咔,30.016748,120.20307
金汉宫海鲜烤肉火锅自助工坊,30.047083,120.254666
好得火锅(临浦店),30.048092,120.254613
滋滋万州烤鱼(临浦店),30.048595,120.250978
新四方美食城(临浦NO.1),30.046875,120.251629
嘟嘟酸菜鱼馆,30.049289,120.255005
浦锦大酒店,30.048851,120.266089
肯德基(临浦峙山餐厅),30.046567,120.254147
浮力森林(临浦店),30.046336,120.251223
美浓食府,30.007167,120.253417
枫的味,30.047271,120.255049
华家农庄,30.042976,120.277603
水富饭店,30.046584,120.253031
如意馄饨(临浦店),30.049256,120.250607
久记扇贝王（峙山北路店）,30.046214,120.250946
乔弟农庄,30.035972,120.294085
新浦锦海鲜楼,30.048851,120.266089
银越湾大酒店-中餐厅,30.04397,120.255037
咭味哆(临浦餐厅),30.047069,120.25723
阿罗哈意式餐厅,30.044886,120.25652
博博面点(临浦店),30.04954,120.250617
杨国福麻辣烫(临浦店),30.046892,120.250416
东北水饺,30.049136,120.250607
520美食吧,30.047023,120.257509
伟英饭店,30.048356,120.250978
CoCo(戴家桥店),30.04657,120.256644
陈老伍麻辣烫(临浦店),30.046945,120.255586
重庆酸菜鱼,30.049802,120.250643
马记牛肉面,30.04656,120.25711
外婆烧(峙山西路店),30.049122,120.251099
麦香园(临浦店),30.046891,120.25694
次坞长佬打面店,30.04973,120.250621
开元仙那都西餐厅,30.004108,120.291763
莫卡乡村(临浦店),30.045083,120.25683
老汤面疙瘩(东藩南路店),30.047516,120.255035
阿得山庄,30.012934,120.271609
戴家桥烧烤,30.047284,120.257751
淮南牛肉汤馆,30.049706,120.250617
利民饭店(浴美路店),30.047173,120.264663
真功夫汤包,30.046003,120.255858
口渴了(临浦店),30.04906,120.25707
永和豆浆(临浦店),30.046577,120.254014
红运面馆,30.042958,120.257303
阿姨奶茶(萧山店),30.046583,120.253123
绝味鸭脖(临浦店),30.046875,120.256091
张氏特色烤鱼,30.049057,120.255305
桥头饭店,30.04693,120.258481
美味烧烤烤鱼,30.04715,120.254653
重庆鸡公煲,30.049586,120.250588
顽皮虎藤椒味特色串串(临浦店),30.049364,120.254897
丰盛饭店,30.035771,120.281563
莎茵屋牛排杯,30.049368,120.25501
进化酒家,30.015776,120.297549
临浦桐庐土菜馆,30.048851,120.26609
茶物语(临浦店),30.048985,120.25703
兄弟大排档,30.04418,120.257669
合味酥酥饼,30.043827,120.258365
小辣椒,30.043691,120.257001
李老爹香辣蟹(临浦店),30.047404,120.251139
皖北饭店,30.04753,120.2591
雪花小炒馆,30.048135,120.250978
江明饭店,30.049516,120.250588
华姐面店,30.043778,120.260039
面对面,30.046847,120.258413
衢州鸭头馆,30.04856,120.254631
沈荭饭店,30.047757,120.250559
泰阳通信(临浦二店),30.046511,120.254855
阿栋饭店,30.015503,120.250114
老彭家亲民农家菜,30.049766,120.250747
东北饺子,30.043911,120.257599
神龟麻辣烫,30.04381,120.261434
果麦,30.046562,120.25696
望优优(临浦店),30.04941,120.256948
夏沫奶茶,30.049711,120.256967
巴比馒头(峙山北路),30.046893,120.256809
小甜甜,30.045708,120.256168
黄焖鸡米饭,30.04418,120.257669
福建正宗沙县小吃,30.046913,120.255696
布兰妮冰淇淋,30.047037,120.25883
云都小吃,30.006927,120.25522
玛丽莲甜品,30.046568,120.253553
奶茶工坊,30.04837,120.25701
十秒到云南过桥米线(西江塘路店),30.045341,120.257627
老金次坞打面馆,30.049802,120.250643
傻子瓜子,30.046894,120.255607
福建沙县营养小吃,30.047756,120.250558
阿新次坞打面馆,30.046561,120.251813
迎友小吃店,30.048132,120.25163
回味饺子馆,30.049328,120.250624
阿姨小吃,30.015887,120.298141
天天小吃,30.04418,120.257669
馍田堡,30.046788,120.25844
好运小吃,30.04656,120.253493
立权熟食店,30.00606,120.257498
重庆麻辣烫,30.046905,120.257481
顺旺基(临浦店),30.049334,120.25425
舸舸中式快餐,30.046558,120.258369
邻家熟食,30.047361,120.25705
稻香村蛋糕房,30.048571,120.255082
经芬熟食,30.006866,120.255225
馋猫零食,30.044213,120.258796
老麦士蛋糕,30.046786,120.258495
便民饼屋,30.035771,120.281563
工农商大食堂,30.049067,120.251023
萧山区进化凤凰山庄,30.038287,120.303915
青山农庄,30.033132,120.310079
竹鼎山庄,30.006351,120.300706
裘峰山庄,30.000799,120.311455
云飞饭店,30.015183,120.30804
花圈店旁边的面馆,30.017896,120.307075
小月居怡珊阁NO.101,30.016553,120.301928
鑫隆饭店,30.018292,120.307102
阿飞家常菜馆,30.017783,120.307491
一见钟情,30.017608,120.307082
奇奇饭店,30.016878,120.312217
葛亚红面馆,30.017303,120.313086
正宗次坞打面,30.017081,120.304621
迦南黄牛肉汤馆,30.016796,120.312241
好运来包子店,30.017486,120.309281
彭记(优口进化店),30.017446,120.309291
e口乐零食,30.017232,120.306881
小香林农庄,30.034398,120.434758
天天来土菜馆,30.040585,120.442709
山野饭店,30.041794,120.443417
绿野饭店,30.04389,120.446384
庆凤饭店,30.034471,120.424082
富桂饭庄,30.034162,120.423407
老友记,30.033634,120.425871
湘家风情(湖西路店),30.041171,120.443097
桥头饭店(025乡道),30.042087,120.443716
型塘酒店,30.040719,120.443032
麦香园蛋糕房,30.041179,120.443096
颖小姐私人定制蛋糕,30.042262,120.443186
友谊饭店,30.049288,120.456724
绍兴县柯桥步步高饭店,30.047904,120.455378
志远饭店,30.03986,120.4694
柯桥筠连巡司赵氏烧烤,30.021522,120.452588
顺达饭店(福全镇兴联社区卫生服务站西北),30.014906,120.494532
步顺农家,30.04235,120.465284
宾格餐厅,30.0436,120.486048
鑫兴农家菜馆,30.039583,120.469532
清真兰州拉面,30.049421,120.456995
四川筠连烧烤,30.048486,120.456267
万福土菜馆,30.049369,120.45703
迎宾酒家,30.043879,120.462649
重庆小周鱼馆,30.049496,120.457142
